"","MarketClass","IDS"
"1","cran","14L1203B"
"2","black","Adams"
"3","black","B10244"
"4","black","B15447"
"5","black","B16501"
"6","black","B16504"
"7","black","B17207"
"8","black","B17259"
"9","black","B17269"
"10","black","B17298"
"11","black","B17315"
"12","black","B18504"
"13","cran","C11212"
"14","cran","C11223"
"15","cran","C11258"
"16","cran","C11263"
"17","cran","C11266"
"18","cran","C11269"
"19","cran","C11320"
"20","cran","C11373"
"21","cran","C13403"
"22","cran","C13404"
"23","cran","C13406"
"24","cran","C13411"
"25","cran","C13413"
"26","cran","C13414"
"27","cran","C13417"
"28","cran","C14501"
"29","cran","C14504"
"30","cran","C14506"
"31","cran","C99833"
"32","kidney","CELRK"
"33","cran","CR1502_3"
"34","cran","CR1503_1"
"35","cran","CR1503_4"
"36","cran","CR1701.1"
"37","cran","CR1701.2"
"38","cran","CR1701.3"
"39","cran","CR1702.1"
"40","cran","CR1703.1"
"41","cran","CR1703.2"
"42","cran","CR1703.3"
"43","cran","CR1704.2"
"44","cran","CR1704.3"
"45","cran","CR1704.4"
"46","cran","Etna"
"47","greatnorthern","G08254"
"48","greatnorthern","G16305"
"49","greatnorthern","G16338"
"50","greatnorthern","G16345"
"51","greatnorthern","G16346"
"52","greatnorthern","G16351"
"53","greatnorthern","G18502"
"54","greatnorthern","G18505"
"55","greatnorthern","G18506"
"56","greatnorthern","G18512"
"57","kidney","K11306"
"58","kidney","K15601"
"59","kidney","K16131"
"60","kidney","K16924"
"61","kidney","K16950"
"62","kidney","K17701"
"63","kidney","K17702"
"64","kidney","K17703"
"65","kidney","K17704"
"66","kidney","K17815"
"67","kidney","K74002"
"68","kidney","K90101"
"69","smallred","Merlot"
"70","navy","N11283"
"71","navy","N17505"
"72","navy","N17506"
"73","navy","N18102"
"74","navy","N18104"
"75","navy","N18109"
"76","navy","N18116"
"77","navy","N18117"
"78","navy","N18119"
"79","navy","N18127"
"80","greatnorthern","ND.Pegasus"
"81","greatnorthern","NE1.20.21"
"82","greatnorthern","NE1.20.31"
"83","pinto","NE2.20.12"
"84","pinto","NE2.20.14"
"85","pinto","NE2.20.3"
"86","pinto","Othello"
"87","pinto","P14814"
"88","pinto","P16901"
"89","pinto","P16904"
"90","pinto","P16905"
"91","pinto","P17507"
"92","pinto","P17508"
"93","pinto","P17510"
"94","pinto","P18601"
"95","pinto","P18602"
"96","pinto","P18608"
"97","pinto","P19101"
"98","pinto","P19102"
"99","pinto","P19103"
"100","pinto","P19104"
"101","pinto","PNE.6.94.75.kodiak"
"102","pinto","PT10.12.1"
"103","pinto","PT16.9"
"104","pinto","PT9.5.6"
"105","smallred","R12844"
"106","smallred","R17605"
"107","smallred","R18405"
"108","smallred","R18406"
"109","smallred","R18409"
"110","smallred","R98026"
"111","pinto","Rattler"
"112","kiney","Redhawk"
"113","pink","S08418"
"114","pink","S16804"
"115","pink","S18904"
"116","pink","S18907"
"117","pink","S18909"
"118","pinto","Windbreaker"
